objectid,ctyua16cd,ctyua16nm,ctyua16nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,98441691.1627886,65270.2353814321
2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,54553584.9075247,41055.7759751227
3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,253890933.827517,101208.754328629
4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,209730813.055702,108085.144431349
5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197475688.954297,107206.282926219
6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,90321523.1746063,60716.8352728683
7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,182383635.211382,84154.5683853158
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137022077.719719,65284.9708490121
9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,43150773.2085032,36304.9601771459
10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,81497501.4364996,45997.5142815045
11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2494795363.7921,372194.165548841
12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,203554047.521971,89885.8588061533
13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,875684730.274502,185646.340101718
14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,272014815.261839,99399.327053331
15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78031122.0373969,50037.5395610221
16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73342069.7187756,51931.7063411807
17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,393748906.420994,125884.893188065
18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74613562.9977471,58724.0264957715
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179709446.16075,349889.2894384
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,290313546.95313,118779.673697761
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707077,93448485.2555324,63974.4081284369
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35604095,351123211.081282,141684.566565208
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47114944,235328726.493214,145315.584653151
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707184,390815092.076001,139299.541474137
25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54671097,536645357.530491,158121.563209092
26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.40494156,84362633.6048883,61972.3209738352
